age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,income_binary,sex_binary,race_group,is_married,capital_gain_log,capital_loss_log
44,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,30,United-States,>50K,1,1,White,0,0.0,0.0
36,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,47,United-States,<=50K,0,1,White,1,0.0,0.0
46,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Female,0,0,23,Other,<=50K,0,0,White,1,0.0,0.0
57,Private,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,>50K,1,1,White,0,0.0,0.0
34,Private,Bachelors,13,Divorced,Sales,Unmarried,White,Male,0,0,28,United-States,<=50K,0,1,White,0,0.0,0.0
34,Private,Some-college,10,Divorced,Handlers-cleaners,Own-child,Asian-Pac-Islander,Female,48318,0,35,United-States,<=50K,0,0,Non-White,0,10.785580137030307,0.0
58,Private,Assoc-voc,11,Widowed,Other-service,Not-in-family,White,Male,63666,0,54,United-States,<=50K,0,1,White,0,11.061421653949045,0.0
47,Private,Some-college,10,Widowed,Handlers-cleaners,Not-in-family,White,Male,0,0,42,United-States,<=50K,0,1,White,0,0.0,0.0
31,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0,1,White,1,0.0,0.0
45,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,99540,0,27,United-States,>50K,1,1,White,1,11.50832489857466,0.0
31,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,0,35,United-States,<=50K,0,1,White,1,0.0,0.0
31,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,31,United-States,<=50K,0,1,White,1,0.0,0.0
41,Private,Bachelors,13,Married-civ-spouse,Tech-support,Own-child,White,Male,0,0,14,United-States,>50K,1,1,White,1,0.0,0.0
18,Private,HS-grad,9,Married-civ-spouse,Sales,Own-child,Black,Male,0,0,43,United-States,<=50K,0,1,Non-White,1,0.0,0.0
18,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Male,0,0,23,United-States,<=50K,0,1,Non-White,1,0.0,0.0
30,Self-emp-not-inc,HS-grad,9,Never-married,Craft-repair,Husband,White,Female,0,0,35,United-States,<=50K,0,0,White,0,0.0,0.0
24,Private,Some-college,10,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,41,United-States,>50K,1,1,White,0,0.0,0.0
42,Self-emp-inc,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,0,30,United-States,<=50K,0,1,White,0,0.0,0.0
26,Self-emp-not-inc,Assoc-acdm,12,Never-married,Protective-serv,Husband,White,Male,21819,1191,25,United-States,>50K,1,1,White,0,9.990582259387061,7.083387847625295
19,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Own-child,Black,Male,0,0,45,United-States,<=50K,0,1,Non-White,1,0.0,0.0
57,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Own-child,White,Female,0,0,20,United-States,<=50K,0,0,White,1,0.0,0.0
35,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,28,Canada,<=50K,0,1,White,1,0.0,0.0
38,Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,0,277,39,United-States,<=50K,0,0,White,1,0.0,5.627621113690637
19,Private,Prof-school,15,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,37,United-States,>50K,1,1,White,0,0.0,0.0
30,Private,Bachelors,13,Never-married,Craft-repair,Own-child,White,Male,0,0,35,United-States,<=50K,0,1,White,0,0.0,0.0
39,Private,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Female,0,0,55,United-States,<=50K,0,0,White,0,0.0,0.0
23,Local-gov,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1447,45,Other,<=50K,0,1,White,1,0.0,7.277938572945661
42,Private,Prof-school,15,Never-married,Craft-repair,Husband,White,Male,63727,0,47,United-States,>50K,1,1,White,0,11.062379305421425,0.0
