loan_type,loan_purpose,owner_occupancy,loan_amount_000s,action_taken,action_taken_name,property_type,lien_status,applicant_sex,applicant_race_1,applicant_income_000s,county_code,census_tract_minority_pct,debt_to_income_ratio,combined_loan_to_value,hoepa_status,sex_binary,race_white,race_black,race_hispanic,hoepa_binary,loan_type_code,loan_purpose_code
Conventional,Home purchase,Owner-occupied as a principal dwelling,155.1,3,Application denied,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,36.9,7,41.1,38.3,87.0,Not applicable,1,1,0,0,0,0,0
FHA-insured,Home purchase,Not owner-occupied,116.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Hispanic or Latino,33.5,1,48.4,29.0,28.1,Not applicable,1,0,0,1,0,1,0
VA-guaranteed,Home purchase,Owner-occupied as a principal dwelling,525.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,Asian,147.5,17,50.9,23.6,93.5,Not a HOEPA loan,1,0,0,0,0,2,0
FSA/RHS-guaranteed,Cash-out refinancing,Owner-occupied as a principal dwelling,340.4,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,112.4,9,38.0,35.5,77.0,Not applicable,0,1,0,0,0,3,3
Conventional,Home purchase,Owner-occupied as a principal dwelling,358.1,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,86.8,1,39.3,32.2,98.1,Not applicable,0,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,364.2,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,99.7,5,27.4,26.6,61.6,Not applicable,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,509.4,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,134.1,5,37.3,36.6,65.6,Not applicable,0,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,333.8,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,119.1,1,26.8,45.6,55.3,Not applicable,1,1,0,0,0,0,0
Conventional,Home purchase,Owner-occupied as a principal dwelling,330.3,5,File closed for incompleteness,One-to-four family dwelling (other than manufactured housing),First lien,Male,White,95.5,3,11.8,33.0,53.9,Not applicable,1,1,0,0,0,0,0
VA-guaranteed,Home purchase,Owner-occupied as a principal dwelling,632.0,1,Loan originated,One-to-four family dwelling (other than manufactured housing),First lien,Female,White,162.6,11,51.2,39.2,81.1,Not applicable,0,1,0,0,0,2,0
