age,education,education_num,occupation,marital_status,hours_per_week,race,sex,capital_gain_log,capital_loss_log,sex_binary,race_group,income_binary,income,is_married,workclass
37,Assoc-voc,11,Craft-repair,Married-civ-spouse,45,White,Male,0.0,0.0,1,White,0,<=50K,1,Private
43,Some-college,10,Exec-managerial,Married-civ-spouse,34,White,Male,0.0,0.0,1,White,1,>50K,1,Private
18,Some-college,10,Exec-managerial,Married-civ-spouse,36,White,Male,0.0,0.0,1,White,0,<=50K,1,Private
18,Bachelors,13,Adm-clerical,Married-civ-spouse,56,White,Male,0.0,0.0,1,White,1,>50K,1,Private
38,HS-grad,9,Adm-clerical,Separated,42,White,Female,0.0,0.0,0,White,1,>50K,0,Self-emp-inc
44,HS-grad,9,Adm-clerical,Married-civ-spouse,46,White,Female,0.0,0.0,0,White,0,<=50K,1,Private
46,HS-grad,9,Handlers-cleaners,Married-civ-spouse,49,White,Male,0.0,0.0,1,White,0,<=50K,1,Private
51,Assoc-voc,11,Craft-repair,Never-married,37,White,Male,0.0,0.0,1,White,1,>50K,0,Private
48,Assoc-voc,11,Transport-moving,Married-spouse-absent,43,White,Male,0.0,7.903226808730733,1,White,1,>50K,0,Private
36,11th,7,Sales,Never-married,48,White,Male,0.0,0.0,1,White,1,>50K,0,State-gov
36,Prof-school,15,Craft-repair,Never-married,31,White,Male,0.0,0.0,1,White,1,>50K,0,Private
49,HS-grad,9,Sales,Never-married,36,Black,Female,0.0,0.0,0,Non-White,0,<=50K,0,Private
51,Assoc-voc,11,Tech-support,Divorced,35,White,Male,0.0,0.0,1,White,1,>50K,0,Local-gov
33,HS-grad,9,Prof-specialty,Never-married,31,Black,Female,0.0,0.0,0,Non-White,0,<=50K,0,Private
30,Some-college,10,Other-service,Married-civ-spouse,16,White,Female,0.0,0.0,0,White,1,>50K,1,Private
18,HS-grad,9,Transport-moving,Married-civ-spouse,45,White,Female,0.0,0.0,0,White,1,>50K,1,Private
25,HS-grad,9,Craft-repair,Divorced,26,White,Male,0.0,0.0,1,White,0,<=50K,0,Self-emp-inc
31,Some-college,10,Tech-support,Married-civ-spouse,61,White,Male,0.0,7.392647520721623,1,White,1,>50K,1,Private
44,HS-grad,9,Prof-specialty,Divorced,47,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
18,Bachelors,13,Tech-support,Divorced,47,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
39,Assoc-voc,11,Other-service,Married-civ-spouse,44,White,Female,0.0,0.0,0,White,0,<=50K,1,Private
18,Prof-school,15,Prof-specialty,Married-civ-spouse,42,White,Male,0.0,0.0,1,White,1,>50K,1,Local-gov
27,Assoc-acdm,12,Priv-house-serv,Never-married,39,White,Male,9.84908416365674,0.0,1,White,0,<=50K,0,Private
33,Some-college,10,Craft-repair,Never-married,18,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
27,Assoc-acdm,12,Adm-clerical,Married-civ-spouse,48,White,Male,0.0,0.0,1,White,0,<=50K,1,Private
58,Bachelors,13,Sales,Married-civ-spouse,40,White,Female,0.0,0.0,0,White,0,<=50K,1,Self-emp-inc
41,HS-grad,9,Sales,Never-married,51,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
24,Bachelors,13,Other-service,Widowed,42,White,Male,0.0,0.0,1,White,0,<=50K,0,Self-emp-inc
40,HS-grad,9,Prof-specialty,Divorced,61,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
39,Bachelors,13,Machine-op-inspct,Married-civ-spouse,48,White,Female,0.0,0.0,0,White,0,<=50K,1,Private
18,Prof-school,15,Other-service,Divorced,28,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
40,Assoc-voc,11,Adm-clerical,Divorced,24,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
62,HS-grad,9,Craft-repair,Married-spouse-absent,36,White,Male,0.0,0.0,1,White,0,<=50K,0,State-gov
19,HS-grad,9,Prof-specialty,Married-civ-spouse,54,White,Male,0.0,7.883069351305753,1,White,0,<=50K,1,Private
44,11th,7,Sales,Never-married,44,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
42,Some-college,10,Sales,Never-married,46,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
42,Some-college,10,Transport-moving,Never-married,47,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
66,HS-grad,9,Sales,Married-civ-spouse,16,White,Male,0.0,0.0,1,White,1,>50K,1,Private
26,Bachelors,13,Exec-managerial,Divorced,29,Amer-Indian-Eskimo,Male,0.0,0.0,1,Non-White,1,>50K,0,Private
26,HS-grad,9,Sales,Divorced,8,White,Female,0.0,0.0,0,White,0,<=50K,0,Local-gov
35,HS-grad,9,Other-service,Married-civ-spouse,43,White,Female,0.0,0.0,0,White,0,<=50K,1,Self-emp-not-inc
20,Some-college,10,Farming-fishing,Never-married,28,White,Male,0.0,0.0,1,White,1,>50K,0,Federal-gov
44,HS-grad,9,Prof-specialty,Married-civ-spouse,50,White,Female,0.0,0.0,0,White,0,<=50K,1,Private
26,HS-grad,9,Prof-specialty,Married-civ-spouse,49,White,Female,0.0,0.0,0,White,0,<=50K,1,Private
52,Assoc-acdm,12,Craft-repair,Never-married,35,White,Female,0.0,0.0,0,White,1,>50K,0,Private
43,Bachelors,13,Farming-fishing,Never-married,57,White,Female,10.220813375077594,7.937731775260109,0,White,0,<=50K,0,State-gov
60,HS-grad,9,Craft-repair,Never-married,46,White,Female,10.5403024485056,0.0,0,White,0,<=50K,0,Private
32,Some-college,10,Exec-managerial,Married-civ-spouse,28,White,Female,0.0,0.0,0,White,0,<=50K,1,Private
38,Prof-school,15,Other-service,Married-civ-spouse,43,White,Male,0.0,0.0,1,White,1,>50K,1,Self-emp-not-inc
47,Assoc-voc,11,Adm-clerical,Married-civ-spouse,55,White,Female,0.0,0.0,0,White,1,>50K,1,Self-emp-inc
46,Some-college,10,Adm-clerical,Never-married,37,Black,Female,0.0,0.0,0,Non-White,0,<=50K,0,Private
36,Some-college,10,Transport-moving,Married-civ-spouse,35,White,Male,0.0,0.0,1,White,0,<=50K,1,Self-emp-not-inc
40,HS-grad,9,Sales,Divorced,22,White,Male,0.0,0.0,1,White,1,>50K,0,Private
63,HS-grad,9,Sales,Married-civ-spouse,57,White,Female,0.0,0.0,0,White,0,<=50K,1,Private
42,Bachelors,13,Prof-specialty,Married-civ-spouse,23,White,Male,0.0,0.0,1,White,1,>50K,1,Private
53,HS-grad,9,Sales,Never-married,62,White,Female,0.0,5.662960480135946,0,White,0,<=50K,0,Private
38,HS-grad,9,Sales,Married-civ-spouse,26,White,Male,0.0,0.0,1,White,1,>50K,1,Federal-gov
31,HS-grad,9,Adm-clerical,Never-married,45,White,Male,0.0,0.0,1,White,1,>50K,0,Private
76,Some-college,10,Adm-clerical,Married-civ-spouse,33,White,Female,0.0,0.0,0,White,0,<=50K,1,Private
53,11th,7,Adm-clerical,Married-civ-spouse,20,Black,Male,0.0,0.0,1,Non-White,0,<=50K,1,Private
18,HS-grad,9,Adm-clerical,Never-married,52,White,Male,11.032095441239615,0.0,1,White,1,>50K,0,Private
22,Bachelors,13,Prof-specialty,Never-married,31,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
41,HS-grad,9,Sales,Married-civ-spouse,55,White,Male,0.0,0.0,1,White,0,<=50K,1,Private
42,Some-college,10,Protective-serv,Divorced,13,White,Male,0.0,0.0,1,White,0,<=50K,0,Self-emp-inc
55,HS-grad,9,Prof-specialty,Never-married,37,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
18,Some-college,10,Other-service,Married-civ-spouse,73,White,Female,0.0,0.0,0,White,0,<=50K,1,Local-gov
27,Bachelors,13,Prof-specialty,Married-civ-spouse,31,White,Female,0.0,0.0,0,White,0,<=50K,1,Local-gov
45,HS-grad,9,Sales,Married-civ-spouse,28,Black,Male,0.0,0.0,1,Non-White,0,<=50K,1,Private
62,HS-grad,9,Sales,Married-civ-spouse,36,White,Male,0.0,0.0,1,White,1,>50K,1,Local-gov
31,Bachelors,13,Exec-managerial,Never-married,60,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
27,Some-college,10,Adm-clerical,Never-married,61,White,Male,0.0,0.0,1,White,1,>50K,0,Private
57,Some-college,10,Exec-managerial,Divorced,35,Asian-Pac-Islander,Male,0.0,0.0,1,Non-White,1,>50K,0,Private
45,Prof-school,15,Machine-op-inspct,Married-spouse-absent,38,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
49,Some-college,10,Sales,Divorced,27,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
36,Assoc-voc,11,Sales,Married-civ-spouse,55,Black,Male,0.0,0.0,1,Non-White,0,<=50K,1,Self-emp-not-inc
57,Bachelors,13,Exec-managerial,Widowed,26,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
49,Bachelors,13,Prof-specialty,Married-civ-spouse,37,White,Male,0.0,0.0,1,White,0,<=50K,1,Private
52,HS-grad,9,Exec-managerial,Divorced,27,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
18,HS-grad,9,Adm-clerical,Married-civ-spouse,53,Asian-Pac-Islander,Male,0.0,0.0,1,Non-White,0,<=50K,1,Self-emp-not-inc
28,11th,7,Exec-managerial,Married-civ-spouse,31,White,Male,0.0,0.0,1,White,1,>50K,1,Private
56,11th,7,Craft-repair,Married-civ-spouse,5,White,Female,0.0,0.0,0,White,0,<=50K,1,Private
25,HS-grad,9,Farming-fishing,Divorced,61,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
50,Assoc-acdm,12,Other-service,Widowed,40,White,Female,0.0,0.0,0,White,0,<=50K,0,Private
33,Bachelors,13,Machine-op-inspct,Never-married,36,White,Female,0.0,0.0,0,White,1,>50K,0,Private
50,Some-college,10,Exec-managerial,Married-civ-spouse,53,White,Male,0.0,0.0,1,White,1,>50K,1,Private
42,Bachelors,13,Adm-clerical,Never-married,60,White,Male,0.0,0.0,1,White,0,<=50K,0,Private
38,Assoc-voc,11,Protective-serv,Never-married,39,White,Male,0.0,0.0,1,White,1,>50K,0,Private
56,HS-grad,9,Sales,Married-civ-spouse,56,White,Male,0.0,0.0,1,White,0,<=50K,1,Local-gov
