id,sex,age,age_cat,race,priors_count,c_charge_degree,c_charge_desc,juv_fel_count,juv_misd_count,decile_score,score_text,two_year_recid,high_risk,sex_binary,is_african_american,charge_degree_binary
2747,Male,24,Less than 25,African-American,0,M,Assault,0,0,9,High,1,1,1,1,0
2226,Male,34,25 - 45,African-American,1,F,Burglary,0,0,1,Low,0,0,1,1,1
3613,Male,33,25 - 45,African-American,0,F,Battery,0,0,5,Medium,0,0,1,1,1
5730,Male,25,25 - 45,African-American,1,F,Drug Possession,0,3,3,Low,1,0,1,1,1
4671,Male,24,Less than 25,African-American,1,M,Burglary,0,0,10,High,1,1,1,1,0
74,Male,21,Less than 25,African-American,0,F,Theft,0,2,8,High,0,1,1,1,1
5067,Male,46,Greater than 45,Caucasian,10,F,Possession of Cannabis,0,0,8,High,1,1,1,0,1
3673,Male,44,25 - 45,Hispanic,0,M,Possession of Cannabis,0,0,3,Low,0,0,1,0,0
5655,Female,64,Greater than 45,Caucasian,1,F,Battery,0,0,5,Medium,0,0,0,0,1
2017,Male,40,25 - 45,Caucasian,0,F,Drug Possession,0,0,1,Low,0,0,1,0,1
5743,Male,40,25 - 45,Caucasian,0,F,Drug Possession,0,0,1,Low,1,0,1,0,1
6299,Male,51,Greater than 45,Caucasian,0,M,Burglary,0,0,3,Low,0,0,1,0,0
3798,Male,36,25 - 45,Caucasian,1,M,Battery,0,0,7,Medium,1,0,1,0,0
6903,Male,19,Less than 25,Caucasian,4,F,Battery,0,0,9,High,1,1,1,0,1
2634,Male,25,25 - 45,African-American,4,M,Battery,0,0,7,Medium,0,0,1,1,0
5803,Male,31,25 - 45,African-American,2,F,Robbery,0,0,5,Medium,1,0,1,1,1
689,Male,34,25 - 45,Caucasian,4,F,Burglary,0,0,6,Medium,1,0,1,0,1
213,Male,44,25 - 45,African-American,1,F,DUI,0,0,5,Medium,1,0,1,1,1
3048,Male,25,25 - 45,Caucasian,0,M,Battery,0,0,7,Medium,1,0,1,0,0
6887,Female,26,25 - 45,African-American,1,F,Theft,0,0,7,Medium,1,0,0,1,1
3488,Male,19,Less than 25,Other,2,F,Drug Possession,0,0,5,Medium,0,0,1,0,1
3400,Male,37,25 - 45,African-American,2,F,Assault,0,0,8,High,0,1,1,1,1
3132,Male,34,25 - 45,Hispanic,2,M,Battery,0,0,4,Low,0,0,1,0,0
871,Male,31,25 - 45,African-American,0,F,Robbery,0,0,4,Low,0,0,1,1,1
6264,Male,53,Greater than 45,Caucasian,1,M,Drug Possession,0,0,3,Low,0,0,1,0,0
6883,Female,30,25 - 45,Caucasian,0,M,Theft,0,0,3,Low,0,0,0,0,0
2901,Male,18,Less than 25,African-American,4,F,Theft,0,0,8,High,1,1,1,1,1
5234,Male,38,25 - 45,African-American,1,F,Battery,0,0,8,High,0,1,1,1,1
4456,Female,18,Less than 25,Caucasian,1,F,Robbery,0,0,1,Low,1,0,0,0,1
5182,Female,31,25 - 45,Caucasian,3,M,Robbery,0,0,7,Medium,1,0,0,0,0
2985,Male,35,25 - 45,Caucasian,4,F,Battery,0,0,5,Medium,0,0,1,0,1
6713,Male,18,Less than 25,African-American,1,F,Possession of Cannabis,0,2,5,Medium,1,0,1,1,1
2863,Male,22,Less than 25,African-American,3,F,Battery,0,1,7,Medium,1,0,1,1,1
6180,Female,42,25 - 45,Caucasian,0,M,Battery,0,0,6,Medium,1,0,0,0,0
2262,Male,18,Less than 25,Caucasian,0,M,Burglary,0,0,10,High,1,1,1,0,0
