loan_type,loan_purpose,loan_amount_000s,action_taken,action_taken_name,applicant_sex,applicant_race_1,applicant_income_000s,debt_to_income_ratio,combined_loan_to_value,census_tract_minority_pct,sex_binary,race_white,race_black,race_hispanic,hoepa_binary,loan_type_code,loan_purpose_code,approved
Conventional,Refinancing,266.8,3,Application denied,Female,White,63.0,28.0,86.2,15.3,0,1,0,0,0,0,1,0
Conventional,Refinancing,520.0,1,Loan originated,Female,White,121.5,22.5,75.1,16.5,0,1,0,0,0,0,1,1
Conventional,Home purchase,91.4,1,Loan originated,Male,American Indian or Alaska Native,36.4,42.5,83.6,18.5,1,0,0,0,0,0,0,1
Conventional,Home purchase,411.0,1,Loan originated,Female,White,108.4,43.7,73.4,20.5,0,1,0,0,0,0,0,1
Conventional,Home improvement,268.0,1,Loan originated,Male,White,86.6,45.7,81.7,25.4,1,1,0,0,0,0,2,1
FHA-insured,Home purchase,311.6,3,Application denied,Male,White,109.2,26.6,74.6,43.5,1,1,0,0,0,1,0,0
Conventional,Home improvement,176.5,1,Loan originated,Male,White,70.4,39.2,90.2,15.9,1,1,0,0,0,0,2,1
Conventional,Home purchase,383.2,3,Application denied,Male,Black or African American,91.9,55.4,56.2,72.2,1,0,1,0,0,0,0,0
Conventional,Refinancing,312.9,1,Loan originated,Female,White,83.3,39.5,87.3,14.2,0,1,0,0,0,0,1,1
Conventional,Refinancing,231.0,3,Application denied,Male,White,77.7,25.1,102.6,45.9,1,1,0,0,0,0,1,0
VA-guaranteed,Home purchase,73.0,1,Loan originated,Male,White,21.8,37.2,93.0,7.1,1,1,0,0,0,2,0,1
Conventional,Home purchase,459.2,3,Application denied,Female,White,109.3,41.7,54.2,17.9,0,1,0,0,0,0,0,0
VA-guaranteed,Home purchase,372.5,1,Loan originated,Male,Asian,93.1,19.0,44.5,40.8,1,0,0,0,0,2,0,1
FHA-insured,Home improvement,72.3,3,Application denied,Female,White,16.5,34.6,78.5,47.6,0,1,0,0,0,1,2,0
Conventional,Home purchase,432.4,1,Loan originated,Male,Asian,139.8,33.0,76.6,11.5,1,0,0,0,0,0,0,1
FHA-insured,Refinancing,338.2,1,Loan originated,Male,White,84.0,27.9,49.1,66.0,1,1,0,0,0,1,1,1
